# IRAS_10378+1108
# lambda_obs [µm]  fnu_obs [mJy]  efnu [mJy] (expected)
    24.306      171.366        1.609
    24.481      173.110        1.577
    24.663      179.580        1.563
    24.840      189.622        1.666
    25.018      200.226        1.770
    25.198      198.963        1.742
    25.554      206.661        1.883
    25.730      219.881        1.892
    25.908      225.516        1.949
    26.087      226.948        1.928
    26.267      233.059        1.896
    26.442      239.335        1.898
    26.617      251.443        2.054
    26.801      264.832        2.139
    27.158      276.125        2.110
    27.331      283.203        2.101
    27.513      299.418        2.025
    27.688      304.384        2.113
    27.865      314.565        2.345
    28.042      330.060        2.437
    28.221      337.237        2.547
    28.401      336.811        2.464
    28.757      363.378        2.313
    28.933      378.394        2.388
    29.117      383.698        2.726
    29.295      397.034        3.032
    29.474      406.181        3.136
    29.646      405.154        3.087
    29.827      414.488        2.894
    30.001      432.163        2.746
    30.361      468.618        3.076
    30.538      450.591        3.126
    30.717      475.186        3.307
    30.896      488.601        3.557
    31.077      490.459        3.738
    31.250      496.077        3.738
    31.433      507.505        3.614
    31.608      530.487        3.843
    31.961      542.022        4.542
    32.139      563.707        4.890
    32.319      562.994        5.348
    32.499      586.259        5.608
    32.680      582.561        5.257
    32.854      564.421        5.167
    33.037      605.868        5.461
    33.212      642.994        5.993
    33.566      639.747        6.615
    33.744      659.474        7.117
    33.923      695.471        8.421
    34.104      649.536        9.229
    34.285      666.184        8.887
    34.458      676.377        8.762
    34.640      725.127        8.940
    34.815      736.222        9.454
